STA,Date,Precip,WindGustSpd,MaxTemp,MinTemp,MeanTemp,Snowfall,PoorWeather,YR,MO,DA,PRCP,DR,SPD,MAX,MIN,MEA,SNF
10001,7/1/1942,1.016,,25.55555556,22.22222222,23.88888889,0,,42,7,1,0.04,,,78,72,75,0
10001,7/2/1942,0,,28.88888889,21.66666667,25.55555556,0,,42,7,2,0,,,84,71,78,0
10001,7/3/1942,2.54,,26.11111111,22.22222222,24.44444444,0,,42,7,3,0.1,,,79,72,76,0
10001,7/4/1942,2.54,,26.66666667,22.22222222,24.44444444,0,,42,7,4,0.1,,,80,72,76,0
10001,7/5/1942,0,,26.66666667,21.66666667,24.44444444,0,,42,7,5,0,,,80,71,76,0
10001,7/6/1942,0,,26.66666667,21.66666667,24.44444444,0,,42,7,6,0,,,80,71,76,0
10001,7/7/1942,T,,28.33333333,22.77777778,25.55555556,0,,42,7,7,T,,,83,73,78,0
10001,7/8/1942,3.556,,26.66666667,22.22222222,24.44444444,0,,42,7,8,0.14,,,80,72,76,0
10001,7/9/1942,T,,27.22222222,22.77777778,25,0,,42,7,9,T,,,81,73,77,0
10001,7/10/1942,3.556,,25.55555556,21.66666667,23.33333333,0,,42,7,10,0.14,,,78,71,74,0
10001,7/11/1942,0,,25.55555556,21.66666667,23.33333333,0,,42,7,11,0,,,78,71,74,0
10001,7/12/1942,0.508,,24.44444444,22.22222222,23.33333333,0,,42,7,12,0.02,,,76,72,74,0
10001,7/13/1942,0,,26.11111111,21.66666667,23.88888889,0,,42,7,13,0,,,79,71,75,0
10001,7/14/1942,0,,26.11111111,22.22222222,24.44444444,0,,42,7,14,0,,,79,72,76,0
10001,7/15/1942,0,,25.55555556,22.77777778,24.44444444,0,,42,7,15,0,,,78,73,76,0
10001,7/16/1942,T,,26.11111111,21.11111111,23.33333333,0,,42,7,16,T,,,79,70,74,0
10001,7/17/1942,T,,28.33333333,22.22222222,25.55555556,0,,42,7,17,T,,,83,72,78,0
10001,7/18/1942,T,,26.66666667,21.11111111,23.88888889,0,,42,7,18,T,,,80,70,75,0
10001,7/19/1942,0,,27.77777778,21.66666667,24.44444444,0,,42,7,19,0,,,82,71,76,0
10001,7/20/1942,0,,26.11111111,20,23.33333333,0,,42,7,20,0,,,79,68,74,0
10001,7/21/1942,T,,24.44444444,21.66666667,23.33333333,0,,42,7,21,T,,,76,71,74,0
10001,7/22/1942,T,,24.44444444,21.11111111,22.77777778,0,,42,7,22,T,,,76,70,73,0
10001,7/23/1942,0,,26.66666667,20.55555556,23.33333333,0,,42,7,23,0,,,80,69,74,0
10001,7/24/1942,0,,27.22222222,18.88888889,23.33333333,0,,42,7,24,0,,,81,66,74,0
10001,7/25/1942,0,,27.22222222,19.44444444,23.33333333,0,,42,7,25,0,,,81,67,74,0
10001,7/26/1942,0,,25.55555556,19.44444444,22.22222222,0,,42,7,26,0,,,78,67,72,0
10001,7/27/1942,0,,25.55555556,19.44444444,22.77777778,0,,42,7,27,0,,,78,67,73,0
